Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Spare Parts Warehouse Incharge,"Jodhpur, Rajasthan",Full Time,Stores & Material Management Department,4 Sep 2023,2.0,2.0,1.0,3.0,2.0,1.0,2.0,"Salary on time
System and basic process","Company culture 
No Work life balance
Work overload
Abnormal pressure 
No/less response from HO
HO Branch politics"
Senior Engineer,"Shirur, Maharashtra",Full Time,Stores & Material Management Department,1 Sep 2023,5.0,4.0,4.0,5.0,5.0,5.0,4.0,"LG Electronics India Pvt Ltd is one of the great company which I have ever seen,
Working environment is very good,
Job Security",No dislikes
In LG INDIA ELECTRONICS PVT LTD,"Faridabad, Haryana",Full Time,Business Department,1 Sep 2023,5.0,3.0,3.0,4.0,5.0,3.0,3.0,product ARE GOOD AND SERVICES PROVIDED BY BRAND,NO ONE LISTEN YOU PROBLEM JUST IGNORED AND IF YOU TAKE LEAVE SENIORS ARE SO RUDELY APPROVED AND EVERY MONTH LAST WEEK OFF WOULD BE CANCEL
Sales Executive,"Gorakhpur, Uttar Pradesh",Full Time,Retail & B2C Sales Department,9 Sep 2023,5.0,4.0,4.0,3.0,3.0,2.0,3.0,"Salary on time , increment depends on manager views","Top level management poor
Middle level management also poor.
Unethical culture and behavior."
Manager,Pune,Full Time,Procurement & Purchase Department,9 Aug 2023,4.0,2.0,3.0,5.0,4.0,3.0,3.0,Good salary and bonus benefits,"Due to global company, reporting factor is much higher than others.
Work should be done immediately whether it is working off time or holiday."
Sales Executive,Mumbai,Full Time,Sales Support & Operations Department,6 Aug 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Their is a good incentive structure you can earn money if you have selling skills.,Lot's of pressure and  be careful about your future
Backend Team Leader,"Thane, Maharashtra",Full Time,Back Office Department,3 Aug 2023,5.0,2.0,5.0,2.0,2.0,2.0,2.0,Just too get the good company knowledge to learn the new things,Salary issue no facility not getting the week off too much work load not having a proper environment to work
Sales Manager,"Kolkata, West Bengal",Full Time,Retail & B2C Sales Department,3 Aug 2023,2.0,1.0,4.0,4.0,2.0,1.0,3.0,Good pay master.,No work life balance. People need to work on holidays. HR is worst. Huge work pressure. I had found people died due to misbehave from sales head. Even I saw a sales head suddenly became area manager.
Part Leader,Noida,Full Time,Marketing Department,3 Aug 2023,3.0,4.0,3.0,4.0,5.0,2.0,2.0,Good company if you just want to work like in a government company. Stable job,"No merit based promotions
Koreans use abusive language
Poor appraisals and bell curve
Weak management 
Koreans control everything. You work as a servant"
Assistant Manager,Noida,Full Time,Other Department,3 Aug 2023,2.0,2.0,1.0,3.0,3.0,1.0,1.0,Company is very good with clear intentions to maintain its position in market. People are issue. Checked every department's culture before putting this thoughtful review.,"General trend and culture in every department where seniors look for a reason to downgrade your ratings to avoid promotions and appraisals so that they can show cost savings to there bosses and get appraisals for them selves. Go ahead and take a feed back yourself with some one who is genuine to you. Old wolves own the company who are old in the system, who are good for nothing with zero decision making powers and business understanding /Sense and  worst communication skills, leaves every decision on Koreans. Koreans are actually working to keep this company running. But ultimately you work in India with Indian team members. Just a small example- even approving your within city travel reimbursement valuing just 300-400 bucks. If you are a new comer expect zero support from seniors, because they feel threatened if you learn their work and if you are smart to learn on your own, you are a bigger threat and seniors will find silly excuses to negatively market you. Love this company as being a market leader they try to do new initiative but company people are in truly sarkari mode of work. Competition is a part of every job, if you don't like competition then you are good for no job but every department is filled a filthy mentality of holding their position by stepping onto your head and get themselves promoted....Read More"
Assistant Manager,Greater Noida,Full Time,Engineering & Manufacturing Department,6 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Nothing to like in this organisation
Terrible atmosphere 
If your work can complete in 9 hrs here people complete in 11 hrs bcoz late sitting is mandatory.","Late sitting, forcing employees to stay late
Up to 8,it is not a MNC company typical lala chap,monday to friday is only showcase they even force come Saturday or even sunday
Unnecessary work load they give if you not stay late."
Data Analyst,Noida,Full Time,Accounting & Taxation Department,5 Jul 2023,5.0,5.0,5.0,3.0,5.0,4.0,3.0,i love to be a part of LG & also work here,Some loop in LG like Off role employees . no any brite future for all those employees . they working in LG for many years but no any policy that they get a chance to be an ON role .
Assistant Manager,Greater Noida,Full Time,Operations Department,3 Jul 2023,3.0,4.0,2.0,2.0,5.0,2.0,3.0,"Facilities are good in LG, YOGA, GYM MEDICAL FACILITY FOOD","Huge gap in salary, fresher earning much salary comparing experienced"
Store Sales Executive,"Dehradun, Uttarakhand",Full Time,Sales Support & Operations Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good company good salary also best company,i enjoy working in this company,The quality of the product is very good, the innovation is very good, every day you see a lot, and the company's sale is a good record.","There is nothing in the company to dislike. All the members of the company are always ready to help us in case of minor mistakes. 
That's why I have nothing to say that I dislike."
Sales Executive,Greater Noida,Full Time,Sales Support & Operations Department,6 Jul 2023,4.0,3.0,4.0,4.0,3.0,3.0,3.0,Good company and good experience and good morning session you how to deal with peoples and explain the technology and best company,Companies not promoting employees hiring employee to outside
Jr. Accountant,"Hyderabad/Secunderabad, Telangana",Full Time,Finance Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"One of the best MNC, 
Good supporting from Seniors, 
LG is one and only best products and services and more, 
LG maintaing system is fantastic  for work
Have every department, like stores,STMs,Accounts,sales, service 
All have GOOD.",No Dislikes
Service Engineer,"Kozhikode, Kerala",Full Time,After Sales Service & Repair Department,7 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I loved working here. I was treated fairly. Everyone was so friendly and very focused on work-life balance. Benefits were great. Easy and chill environment.,I like LG
Senior Engineer,Pune,Full Time,"Operations, Maintenance & Support Department",2 Jun 2023,3.0,2.0,4.0,3.0,5.0,3.0,3.0,Most of all system are on line which reduced manual report preparation,"Any report  we have to make, given at last moment & expected to be completed flawlessly 
For which Staff have to do Over time which reduced time to spend with Family
Staff also expected to give it there all but have strict budget which causes any required material to purchase in improving the Line for KPI achievement hard."
Area Manager,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,0 Jun 2023,3.0,2.0,3.0,3.0,4.0,2.0,3.0,"It was different earlier, when performance was well rewarded.","Incentives and bonuses have gone down drastically over the last 3-4 years. No work life balance. Practically working 365 days a year, bcoz u have to be available on call from 9AM to 10PM in the night till the retail stores close."
Senior Engineer RAC Development,Greater Noida,Full Time,Engineering & Manufacturing Department,7 Jun 2023,1.0,1.0,1.0,2.0,3.0,1.0,2.0,"Nothing much, even if anything good happens the bad part counter them all.","No work life balance
HR team is totally ignorant and support only the old employees or managers
Late sittings and working on holidays are regular.
No clear briefing of company policies in safeguarding the employees from harassment and over hours of working.
Senior management have no modesty while speaking, they use cheap abusives inregular meetings and greetings.
Managers alaways threaten you with year end ratings and bonus inorder to exploit you to work more
Manager/ senior ask cheap and personal questions when asked to approved leaves.
Empoloyee retention is really poor due to all these facts.
KPI achievements are counted on the basis of how many days you worked from 6pm to 8 pm and during off days rather than how well you performed during regular  working hours and days.
New employess and recruita are treated as daily wager with no reapect of theire personal space and time....Read More"
Team Manager,Greater Noida,Full Time,Accounting & Taxation Department,7 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Systems and processes,Work life balance and work culture
Customer Care Officer,"Jabalpur, Madhya Pradesh",Full Time,Customer service Department,6 Sep 2023,1.0,2.0,2.0,1.0,2.0,2.0,1.0,Nothing,"Carrier growth is not as per market and other companies. No week off, 7 days working from morning 8.30 to 9.00 pm"
Senior Accountant   (working remotely),,Full Time,Accounting & Taxation Department,6 Sep 2023,5.0,5.0,3.0,5.0,5.0,4.0,5.0,Job security is very good.,Culture
Key,"Bengaluru/Bangalore, Karnataka",Full Time,Enterprise & B2B Sales Department,5 Sep 2023,4.0,2.0,5.0,4.0,5.0,3.0,4.0,"Support from seniors, Fast pace work culture, freedom of decision making.","Zero Work Life balance,"
Product Planning,"Noida, Uttar Pradesh",Full Time,Marketing Department,4 Sep 2023,3.0,1.0,2.0,2.0,5.0,2.0,2.0,Job Security,Poor promotions and appraisal system
Senior Executive Ii,Greater Noida,Full Time,Accounting & Taxation Department,2 Sep 2023,4.0,5.0,4.0,4.0,5.0,4.0,4.0,"Great work environment 
Understanding leaders",Timings
"Assistant Manager NPD, NPI Quality Assurance",Ranjangaon,Full Time,Quality Assurance and Testing Department,1 Sep 2023,2.0,2.0,2.0,2.0,3.0,1.0,2.0,Job security,"Work life balance, Growth"
Billing Executive,"Mangaluru, Karnataka",Full Time,Back Office Department,1 Sep 2023,4.0,2.0,3.0,4.0,5.0,3.0,4.0,Salary and benefits,Improper training
Cco   (working remotely),,Full Time,Operations Support Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I have learn lot things in this vth this I have build my career 😊😇,Nothing
Engineer Trainee,"Pune, Maharashtra",Full Time,Engineering Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It has good work life balance .,Nothing
Leader - Promoter,Noida,Full Time,Corporate Training Department,9 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Fast decision making and execution,Unclear cascade of vision and direction
Assistant Manager,Pune,Full Time,DevOps Department,8 Sep 2023,1.0,1.0,3.0,3.0,4.0,1.0,3.0,Company policies are good.,Company policies are good but you cannot use them. Bosses treated employees like nothing.
Field Worker,"Hyderabad/Secunderabad, Telangana",Full Time,Engineering Department,7 Sep 2023,5.0,5.0,4.0,5.0,3.0,4.0,3.0,Treating and customer satisfaction,Time limit of working
LGC Manager,"Vadodara, Gujarat",Full Time,After Sales Service & Repair Department,6 Sep 2023,2.0,1.0,1.0,3.0,3.0,3.0,2.0,On time salary,No personal life .. there is no life good
Deputy Manager,Noida,Full Time,Finance Department,5 Sep 2023,4.0,5.0,2.0,3.0,5.0,2.0,3.0,Work life balance was good,No carrer growth
Qa Qc Engineer,Noida,Full Time,Construction / Manufacturing Department,4 Sep 2023,5.0,3.0,4.0,2.0,3.0,4.0,2.0,Very interested in makes all her products so  i can like,Very faithfully products so can not dis like lg electronics
Ac Technician   (working remotely),,Full Time,Life Insurance Department,4 Sep 2023,4.0,4.0,5.0,5.0,4.0,5.0,4.0,Technician job,Ac technician Sir job
Supply Chain Manager,"Raipur, Chhattisgarh",Full Time,Stores & Material Management Department,4 Sep 2023,4.0,3.0,2.0,3.0,2.0,3.0,1.0,Salary on time,Sales pressure
Accounts Payable Accountant,Noida,Full Time,Finance Department,0 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,Working  day by day Account executive
Senior Sales Executive,"Jaipur, Rajasthan",Full Time,Retail & B2C Sales Department,9 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Salary on time,Yearly increment
Management Trainee   (working remotely),,Part Time,Operations Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Iti electronic  soldering opretor,Iti electronic soldering opretor ka Kam aata hai
6 Year LG Company Square Service Store Part Aur Pak Department,"Bhopal, Madhya Pradesh",Full Time,Hardware Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"💯
LG company 6year",6year LG company job
Area Sales Manager,"Ahmedabad, Gujarat",Full Time,Sales Support & Operations Department,2 Aug 2023,4.0,2.0,4.0,4.0,3.0,4.0,3.0,Learning of business practices,Work life balance was a major concern
Area Manager,"Jaipur, Rajasthan",Full Time,System air conditioning  Department,2 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,4.0,Job security with fair policy,Nothing else
Store Sales Executive,New Delhi,Full Time,Marketing Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Store work is good appraisal is good all siners is good 👍,No problem is good
Intern,"Pune, Maharashtra",Full Time,Data Science & Machine Learning Department,2 Aug 2023,4.0,4.0,3.0,3.0,4.0,4.0,4.0,Ok no likes for the company,Ok no dislikes for the company
Intern,Greater Noida,Intern,Production & Manufacturing Department,0 Aug 2023,3.0,3.0,3.0,2.0,4.0,3.0,2.0,Tough environment is good for freshers,"No stipend, Lack of defined KPI"
Sales Officer,"Thane, Maharashtra",Full Time,Retail & B2C Sales Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Fantastic,Not given growth internally
Data Entry Operator,"Greater Noida, Uttar Pradesh",Full Time,Back Office Department,3 Aug 2023,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Facilities are good LG company,Third party involved is not better
Branch Marketing Associate,"Rajkot, Gujarat",Full Time,Marketing Department,7 Aug 2023,4.0,4.0,4.0,4.0,4.0,3.0,3.0,"Everything is aligned with system, helpful colleagues and motivation with various tools",Xtream work pressure
Manager,Noida,Full Time,Sales Support & Operations Department,5 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"Everything (culture, work-life balance, learning, freedom of speech and work satisfaction.",Nothing
Assistant Manager,"Patiala, Punjab",Full Time,Retail & B2C Sales Department,5 Aug 2023,5.0,4.0,4.0,4.0,5.0,5.0,5.0,LG is good company with good work culture,Nothing to dislike
Forklift Operator,Lagos Nigeria,Contractual,Port & Maritime Operations Department,3 Aug 2023,3.0,3.0,5.0,3.0,5.0,4.0,4.0,Reliable is too much and trust workers they have experience in technical support engineer.,No one challenge there team.
Product Area Manager,Noida,Full Time,Enterprise & B2B Sales Department,0 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,3.0,Large platform to learn.,Regular work from office culture.
Sales,"Bengaluru/Bangalore, Karnataka",Full Time,Operations Support Department,0 Aug 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,System oriented company. Leader in segments and customer service.,Pay not in par with Industry.
Get,Pune,Full Time,Engineering & Manufacturing Department,0 Aug 2023,3.0,1.0,4.0,2.0,3.0,2.0,1.0,Hand on learning,"No work life balance. 
Work culture not good."
Sr Engineer 2,Noida,Full Time,PCB production  Department,6 Aug 2023,5.0,4.0,4.0,4.0,5.0,4.0,4.0,I like in LG because it's gives the chance for improve your skill.,LG is very documents work.
Branch Accounts Manager,Greater Noida,Full Time,Finance Department,6 Aug 2023,4.0,3.0,3.0,4.0,4.0,3.0,3.0,"Good paymaster , timely salary","No work life balance, you have to carry your laptop even if you are on leave"
Assistant Manager,"Solapur, Maharashtra",Full Time,Retail & B2C Sales Department,6 Aug 2023,4.0,2.0,5.0,4.0,4.0,3.0,4.0,The speed of Work Style in every Category,Work Never Ends.
Sales Officer,"Vellore, Tamil Nadu",Full Time,Retail & B2C Sales Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"iam comfort the LG company,good support for employees",no anyone for disadvantage in LG company.
Supervisor,Noida,Full Time,Administration & Staff Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Inbound nd outbound  working,Nothing forver
Product Head,New Delhi,Full Time,BD / Pre Sales Department,6 Aug 2023,3.0,1.0,2.0,2.0,4.0,1.0,3.0,"Aggression
Brand strength","Work life balance 
Domination by boss abusive languages"
Service Engineer,"Ahmedabad, Gujarat",Full Time,After Sales Service & Repair Department,4 Aug 2023,3.0,3.0,3.0,3.0,2.0,4.0,3.0,Like to have for knowledge improvement,Poor management
Mis Analyst,New Delhi,Full Time,After Sales Service & Repair Department,4 Aug 2023,3.0,1.0,5.0,1.0,2.0,1.0,1.0,Nothing becouse ther management not supported,Everything
Quality Inspector,Greater Noida,Freelancer,Engineering Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like a lg electronics company.,Lg electronics company not incentive employee
"Deputy Manager -Training & Application Engineering, Pune",Pune,Full Time,Engineering & Manufacturing Department,3 Aug 2023,2.0,1.0,1.0,4.0,3.0,1.0,1.0,Discount on Home appliances,"Demoralisation inspite of best results. Too much internal politics, no work life balance"
Branch Accounts Manager,"Noida, Uttar Pradesh",Full Time,Accounting & Taxation Department,2 Aug 2023,4.0,3.0,3.0,4.0,5.0,4.0,4.0,Good for work but not for work life balance.,Excess work load
Shop Manager In Brand Store,Bhopal Madhya Pradesh Location,Full Time,Retail Store Operations Department,2 Aug 2023,2.0,2.0,4.0,3.0,1.0,1.0,1.0,Salary on time always,So many internal politics and groupism in branch level .
Deputy Manager,"Patna, Bihar",Full Time,Retail & B2C Sales Department,1 Aug 2023,1.0,1.0,4.0,4.0,1.0,1.0,4.0,Salary and rewards are very good.,Life is LG is very terrible.
Design Engineer Mechanical,Egypt,Full Time,Engineering & Manufacturing Department,1 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,It is one of the best places i have worked in and i gained more experience inside it,Work more time to achieve the company's goals
Diploma Engineer,New Delhi,Full Time,Engineering Department,1 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Actually I'm hered about Excellent peace of working here. Now I want to getting the opportunity from this company as soon as well.,Nothing
Center Manager,Ahmedabad,Full Time,Administration & Staff Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Skill development company culture knowledge job security  work satisfaction,Time issue and nothing else
Assistant General Manager Sales,New Delhi,Full Time,Enterprise & B2B Sales Department,1 Jul 2023,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Good care of employees,Nothing
Product Marketing Manager,Noida,Full Time,Marketing Department,0 Jul 2023,3.0,2.0,2.0,3.0,3.0,2.0,2.0,Product knowledge,Work life balance
Manager,Greater Noida,Full Time,Facility Management Department,9 Jul 2023,5.0,4.0,5.0,4.0,4.0,4.0,5.0,"Company benefits
New learning skill
Self development",Work life balance
Senior Sales Executive,"Jammu, Jammu & Kashmir",Full Time,Retail & B2C Sales Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ok,another pressure  this company
Data Analyst,Noida,Full Time,Business Intelligence & Analytics Department,9 Jul 2023,5.0,5.0,1.0,2.0,2.0,3.0,2.0,"Working environment is good,",Skill development and salary benefit are poor.
Deputy Manager,Noida,Full Time,Marketing Department,8 Jul 2023,3.0,3.0,4.0,4.0,4.0,2.0,2.0,Business Driven with detailing of work,"Work Culture
HR Policies"
Owner,"Ballabhgarh, Haryana",Full Time,After Sales Service & Repair Department,8 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Balram tomar,Technician airconditioner freeze washing machine demo installation repair act.
Management Trainee,"Pune, Maharashtra",Full Time,Procurement & Purchase Department,7 Jul 2023,3.0,1.0,2.0,2.0,5.0,1.0,2.0,Global Company,"Unrealistic targets and KPI
Terrible Work culture
Late sitting
Poor Work life balance"
Team Member,Noida,Full Time,Engineering Department,7 Jul 2023,5.0,4.0,3.0,4.0,5.0,4.0,4.0,Job security,Work life balance
Manager,"Greater Noida, Uttar Pradesh",Full Time,Engineering Department,7 Jul 2023,3.0,3.0,3.0,2.0,3.0,3.0,3.0,"Good for new members.
Good place to work for 4-5 years","Salary and increments are poor.
Learning is limited."
Intern,"Noida, Uttar Pradesh",Full Time,Procurement & Purchase Department,6 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Food
Easy dad
Gds
Dd","Nothing 
D di
Fhl
Gu"
Warehouse Assistant,Sreerampur,Contractual,After Sales Service & Repair Department,6 Jul 2023,4.0,3.0,4.0,3.0,3.0,3.0,2.0,Good suport systeam help every time,Salary very poor
Assistant Manager   (working remotely),,Contractual,Recruitment & Talent Acquisition Department,6 Jul 2023,4.0,2.0,2.0,2.0,3.0,4.0,2.0,Work environment,work life balance.
Electronics Manager,"Agra, Uttar Pradesh",Full Time,Management Department,4 Jul 2023,5.0,1.0,5.0,5.0,5.0,1.0,3.0,Good company it teaches you a lot,Toxic work culture
Senior Bdm Manager,Hyderabad,Full Time,Enterprise & B2B Sales Department,4 Jul 2023,4.0,3.0,3.0,3.0,2.0,3.0,3.0,Ok,Ok all good . Work hard
Ac And Refrigeration Technician,"Thiruvallur, Tamil Nadu",Full Time,After Sales Service & Repair Department,3 Jul 2023,4.0,5.0,5.0,4.0,4.0,4.0,4.0,Lg refrigerator washing machine  ac nice market work nice,No problem but not  problem
Sse,Chennai,Full Time,Marketing Department,0 Jul 2023,5.0,5.0,4.0,5.0,4.0,5.0,4.0,I like this company because LG means Life Good,No dislike LG
District Sales Officer,"Lucknow, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,0 Jul 2023,4.0,4.0,5.0,4.0,5.0,4.0,4.0,good environment to work,nothing
Salesman   (working remotely),,Contractual,Marketing Department,9 Jul 2023,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Goodcom an B ah zj,N a p p l k
Regional Manager Sales And Marketing,"Bhopal, Madhya Pradesh",Full Time,Sales and marketing  Department,9 Jul 2023,5.0,3.0,3.0,4.0,5.0,3.0,4.0,Its a very fast company and will make you better 360 degree,Work life balance
Service Engineer Technician,"Hyderabad/Secunderabad, Telangana",Full Time,After Sales Service & Repair Department,9 Jul 2023,3.0,3.0,4.0,5.0,2.0,4.0,3.0,Salary and benefits,Working hours and week offs and leaves are not happening
Deputy Manager Sales,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,8 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent,"overtime work,late night work, unlimited work pressure"
Marketing Manager,"Indore, Madhya Pradesh",Full Time,Marketing Department,8 Jul 2023,5.0,1.0,1.0,5.0,5.0,1.0,2.0,No work life balance,Culture
Manager,"Bangalore Rural, Karnataka",Full Time,Product Management - Technology Department,7 Jul 2023,3.0,1.0,4.0,2.0,2.0,2.0,3.0,Skill development learning,Work life balance
Business Development Manager- Delhi Haryana,"Lucknow, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,7 Jul 2023,2.0,2.0,5.0,5.0,4.0,2.0,3.0,Salary benefit training skill development,Work life balance. Orthodox approach from senior.
Refrigeration And Air Conditioning Mechanic,"Machilipatnam, Andhra Pradesh",Full Time,After Sales Service & Repair Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,"Air conditioner, refrigerator and washing machine",Noo
Manager - Retail Marketing,Mumbai,Full Time,Marketing Department,6 Jul 2023,1.0,1.0,1.0,4.0,4.0,1.0,1.0,Good learning,Work Culture is pathetic
Sales Trainer,"Salem, Tamil Nadu",Full Time,Corporate Training Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I have learn lot of things and career development also...,None
Senior Executive,Noida,Full Time,Other Department,5 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Great Learning experience
Challenging",Strict timings
Branch Marketing Manager,"Chandigarh, Chandigarh",Full Time,Marketing Department,3 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Only politics rest nothing,Only politics
Technician,"New Delhi, Delhi",Full Time,Customer Success Department,4 Jul 2023,4.0,3.0,5.0,5.0,2.0,2.0,2.0,Salary benefits,Time management and working
Team Lead,"Davanagere, Karnataka",Full Time,After Sales Service & Repair Department,2 Jul 2023,3.0,1.0,3.0,1.0,1.0,2.0,1.0,Same thing the work space and the colleague,The management is the worst
Senior Service Officer,"Patna, Bihar",Contractual,Service Delivery Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good Environment, Team are supportive, No Politics,",Minimum hike.
Manager   (working remotely),,Full Time,Procurement & Purchase Department,1 Jul 2023,2.0,1.0,3.0,4.0,2.0,1.0,4.0,Process & systems,Bad culture
In Shop Demonstrator,Pune,Full Time,Customer Success Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Experience increases knowledge,No
Rso,"Siliguri, West Bengal",Full Time,Retail & B2C Sales Department,2 Aug 2023,5.0,3.0,5.0,4.0,5.0,4.0,3.0,Skill and learning,Not any thing
Finance Executive,"Noida, Uttar Pradesh",Full Time,Finance Department,0 Jul 2023,3.0,3.0,3.0,2.0,3.0,3.0,1.0,"Work culture,",Increments and promotion
BPT -Training,"Indore, Madhya Pradesh",Full Time,Administration & Staff Department,9 Jul 2023,2.0,1.0,5.0,5.0,1.0,2.0,4.0,Salary and skill development,Working culture
Branch Marketing Manager,Within India,Full Time,Marketing Department,9 Jul 2023,3.0,1.0,3.0,3.0,3.0,1.0,3.0,"Brand Name is good, Salary on time","Zero Work life Balance, terrible work culture and extreme pressure"
Store Incharge   (working remotely),,Full Time,Non Voice Department,8 Jul 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,I like my work,Travelling was the problem
Coo,"Noida, Uttar Pradesh",Full Time,SCM & Logistics Department,7 Jul 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Great company to work,"Nothing bad, get good challenging environment to perform"
Mis Reporting Data Analyst,Pune,Full Time,SCM & Logistics Department,5 Jul 2023,4.0,4.0,3.0,4.0,3.0,3.0,3.0,LG is best for learning and handling pressure in very less time.,Company culture. It provides safe environment specially for girls.
Team Leader,"Ludhiana, Punjab",Full Time,After Sales Service & Repair Department,6 Jul 2023,5.0,4.0,5.0,5.0,5.0,5.0,4.0,Late Working hours,Salery
Senior Engineer L2,Greater Noida,Full Time,Engineering & Manufacturing Department,5 Jul 2023,3.0,1.0,3.0,5.0,4.0,2.0,4.0,Work life and personal life balance,LG is doing several cultural activities for Employee bonding
New Product Development Lead,Greater Noida,Full Time,Engineering & Manufacturing Department,5 Jul 2023,3.0,4.0,2.0,3.0,4.0,3.0,4.0,"politics & No leadership quality, Wrong peoples promoted at leadership position","Environment of the company is extremely good and Key factors of company is also frustrated.
I will be want to work there....in my coming life it is proudly to me.."
Data Analyst   (working remotely),,Full Time,Data Science & Machine Learning Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing else,Not good. Personal life is spoil .
Area Service Manager,Rajabazar,Full Time,Sales Support & Operations Department,4 Jul 2023,3.0,2.0,3.0,2.0,3.0,3.0,2.0,"Revenue targets which not justify, but company wants more and only more",Salary structure of the same
Deputy Manager,"Surat, Gujarat",Full Time,Marketing Department,4 Jul 2023,4.0,4.0,4.0,5.0,5.0,3.0,4.0,Work pressure and management,
Senior Engineer,"Greater Noida, Uttar Pradesh",Full Time,Engineering & Manufacturing Department,4 Jul 2023,3.0,2.0,2.0,3.0,5.0,2.0,3.0,On time salary. and projects,Micro management
Senior Engineer,"Pune, Maharashtra",Full Time,Quality assurance Department,4 Jul 2023,3.0,3.0,4.0,4.0,5.0,2.0,5.0,Working system,Departmental politics high
Assistant Manager,Pune,Full Time,Engineering & Manufacturing Department,4 Jul 2023,2.0,2.0,2.0,4.0,4.0,2.0,3.0,On time salary,Culture & work life balance
Marketing Coordinator,"Jammu, Jammu & Kashmir",Full Time,Marketing Department,2 Jul 2023,5.0,5.0,4.0,2.0,2.0,5.0,2.0,Good company to work,Always keep the employee to work work & work
Sales Executive,"New Delhi, Delhi",Full Time,After Sales Service & Repair Department,8 Jul 2023,3.0,3.0,5.0,5.0,1.0,1.0,3.0,Salary increment good.,ASM behaviour is not good and ASM used abused word. It's not like.and ASM power misused your company.
Branch Product Trainer,"Gorakhpur, Uttar Pradesh",Full Time,Marketing Department,0 Jun 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Very good culture to work here,Some unwanted thing happened some times
Senior Executive,Greater Noida,Full Time,Accounting & Taxation Department,9 Jun 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Nothing unlike only favouring to others,Very poor work culture and very terrible
Assistant Manager,"Hubli, Karnataka",Full Time,Sales Support & Operations Department,9 Jun 2023,4.0,3.0,4.0,4.0,3.0,4.0,5.0,GOOD WORKING WITH COLIGUES AND REGULAR TEAM OUTING MOTIVATIONAL ACTIVITIES,BAD IS ALL BASED ON OUR PERSONAL PERMORMANCE
Rso,Pune,Contractual,"Operations, Maintenance & Support Department",5 Jun 2023,2.0,1.0,1.0,3.0,3.0,1.0,2.0,Nothing interesting in the company,Managers are rude and egotistical
